t,class,conf,area,infer_ms,e2e_ms,fired
1783028665.336,,,,47.6,50.6,
1783028665.389,,,,45.2,48.7,
1783028665.441,,,,44.8,49.1,
1783028665.486,,,,46.6,47.1,
1783028665.539,,,,44.8,45.8,
1783028665.589,,,,47.5,48.5,
1783028665.643,,,,47.1,52.1,
1783028665.690,,,,48.5,52.5,
1783028665.744,,,,43.5,44.0,
1783028665.794,,,,45.0,47.5,
1783028665.845,,,,46.2,48.2,
1783028665.897,,,,44.0,45.5,
1783028665.947,,,,45.2,46.2,
1783028666.003,,,,50.0,53.0,
1783028666.054,,,,44.3,53.3,
1783028666.104,,,,48.6,52.9,
1783028666.153,,,,44.0,45.0,
1783028666.203,,,,48.0,51.0,
1783028666.257,,,,50.5,54.3,
1783028666.307,,,,45.8,51.1,
1783028666.359,,,,46.6,50.3,
1783028666.406,,,,46.6,49.6,
1783028666.458,,,,42.0,46.0,
1783028666.506,,,,41.5,44.5,
1783028666.558,,,,47.5,49.5,
1783028666.612,,,,45.5,50.5,
1783028666.657,,,,48.1,55.2,
1783028666.705,,,,44.9,46.9,
1783028666.761,,,,45.2,50.7,
1783028666.817,,,,45.0,50.5,
1783028666.862,,,,45.0,50.0,
1783028666.913,,,,44.5,46.5,
1783028666.964,,,,44.7,47.7,
1783028667.014,,,,52.4,57.4,
1783028667.066,,,,43.1,52.1,
1783028667.122,,,,51.4,55.9,
1783028667.173,,,,52.0,62.0,
1783028667.226,,,,53.1,63.7,
1783028667.281,,,,51.4,66.9,
1783028667.332,,,,51.8,69.8,
1783028667.384,,,,54.3,69.5,
1783028667.438,,,,52.9,68.5,
1783028667.491,,,,51.2,72.4,
1783028667.542,,,,53.0,78.6,
1783028667.595,,,,51.4,79.4,
1783028667.648,,,,53.0,79.2,
1783028667.702,,,,50.0,81.0,
1783028667.752,,,,47.1,78.0,
1783028667.799,,,,45.0,72.1,
1783028667.844,,,,46.0,68.0,
1783028667.890,,,,50.0,66.0,
1783028667.940,,,,48.0,65.3,
1783028667.989,,,,51.8,65.8,
1783028668.041,,,,49.5,67.3,
1783028668.091,,,,49.0,65.9,
1783028668.140,,,,46.2,60.8,
1783028668.187,,,,50.1,53.2,
1783028668.237,,,,50.3,60.1,
1783028668.288,,,,45.4,53.4,
1783028668.334,,,,46.5,50.9,
1783028668.386,,,,45.8,48.8,
1783028668.437,,,,47.1,52.3,
1783028668.484,,,,51.4,53.4,
1783028668.536,,,,48.3,50.5,
1783028668.590,,,,49.0,54.0,
1783028668.639,,,,47.6,50.6,
1783028668.692,,,,49.8,52.3,
1783028668.742,,,,48.3,53.8,
1783028668.790,,,,46.5,47.5,
1783028668.842,,,,47.1,51.6,
1783028668.889,,,,48.3,49.3,
1783028668.943,,,,48.0,49.5,
1783028668.991,,,,49.8,50.8,
1783028669.046,,,,60.2,65.2,
1783028669.106,,,,52.6,67.6,
1783028669.159,,,,45.0,63.3,
1783028669.204,,,,44.9,60.9,
1783028669.249,,,,46.0,50.0,
1783028669.301,,,,44.1,47.1,
1783028669.351,,,,46.5,51.8,
1783028669.397,,,,46.8,48.8,
1783028669.451,,,,44.8,50.0,
1783028669.501,,,,43.8,47.5,
1783028669.550,,,,44.5,47.5,
1783028669.601,,,,46.0,48.0,
1783028669.652,,,,43.5,46.5,
1783028669.707,,,,48.1,51.1,
1783028669.755,,,,46.1,52.1,
1783028669.802,,,,48.1,50.0,
1783028669.851,,,,45.2,48.2,
1783028669.902,,,,45.0,46.5,
1783028669.953,,,,44.8,45.8,
1783028670.009,,,,47.5,51.5,
1783028670.056,,,,47.5,54.8,
1783028670.110,,,,47.4,49.8,
1783028670.157,,,,44.1,48.1,
1783028670.207,,,,47.5,50.5,
1783028670.256,,,,46.2,48.2,
1783028670.308,,,,42.9,44.9,
1783028670.357,,,,44.6,46.6,
1783028670.412,,,,46.1,48.6,
1783028670.465,,,,48.4,51.6,
1783028670.513,,,,45.5,52.5,
1783028670.559,,,,47.9,49.9,
1783028670.613,,,,47.1,51.6,
1783028670.660,,,,59.8,60.8,
1783028670.720,,,,49.4,58.1,
1783028670.770,,,,50.8,59.4,
1783028670.821,,,,53.4,66.4,
1783028670.875,,,,53.9,70.3,
1783028670.930,,,,52.0,70.0,
1783028670.982,,,,54.2,72.6,
1783028671.038,,,,51.2,72.3,
1783028671.089,,,,47.3,73.5,
1783028671.137,,,,42.0,59.3,
1783028671.179,,,,42.2,53.2,
1783028671.221,,,,46.7,50.8,
1783028671.269,,,,47.8,51.1,
1783028671.323,,,,54.4,55.4,
1783028671.377,,,,46.5,51.1,
1783028671.424,,,,46.0,48.0,
1783028671.475,,,,43.1,48.1,
1783028671.524,,,,45.2,46.2,
1783028671.575,,,,43.8,44.8,
1783028671.625,,,,42.6,43.6,
1783028671.679,,,,46.5,52.0,
1783028671.731,,,,45.6,50.1,
1783028671.777,,,,47.7,48.7,
1783028671.830,,,,45.3,50.3,
1783028671.886,,,,49.5,54.7,
1783028671.936,,,,44.1,53.1,
1783028671.980,,,,48.3,50.3,
1783028672.028,,,,45.3,46.3,
1783028672.090,,,,48.3,52.1,
1783028672.139,,,,47.0,57.0,
1783028672.186,,,,46.9,56.9,
1783028672.238,,,,49.3,51.3,
1783028672.293,,,,52.6,55.6,
1783028672.346,,,,44.6,53.6,
1783028672.391,,,,45.9,51.9,
1783028672.442,,,,47.1,48.6,
1783028672.489,,,,47.0,50.6,
1783028672.542,,,,46.0,50.5,
1783028672.593,,,,43.3,47.8,
1783028672.642,,,,51.4,56.4,
1783028672.694,,,,47.7,49.7,
1783028672.747,,,,52.0,55.3,
1783028672.799,,,,55.4,63.4,
1783028672.854,,,,56.0,67.9,
1783028672.910,,,,53.6,70.6,
1783028672.964,,,,51.4,71.0,
1783028673.015,,,,52.7,74.2,
1783028673.068,,,,52.5,75.7,
1783028673.122,,,,50.3,72.8,
1783028673.172,,,,51.7,75.7,
1783028673.225,,,,51.7,77.7,
1783028673.276,,,,49.2,77.2,
1783028673.326,,,,45.0,70.4,
1783028673.371,,,,48.8,70.8,
1783028673.420,,,,49.0,67.0,
1783028673.469,,,,46.9,65.9,
1783028673.516,,,,48.3,62.5,
1783028673.564,,,,43.9,54.9,
1783028673.608,,,,48.0,54.0,
1783028673.662,,,,47.1,52.4,
1783028673.709,,,,51.9,52.9,
1783028673.761,,,,49.5,54.0,
1783028673.816,,,,47.8,53.0,
1783028673.864,,,,43.7,48.7,
1783028673.913,,,,48.1,51.1,
1783028673.961,,,,44.7,46.7,
1783028674.011,,,,48.7,51.0,
1783028674.060,,,,46.1,47.2,
1783028674.112,,,,49.9,51.9,
1783028674.167,,,,47.5,52.5,
1783028674.220,,,,44.3,49.3,
1783028674.266,,,,48.2,52.2,
1783028674.315,,,,50.9,53.9,
1783028674.366,,,,49.5,52.5,
1783028674.421,,,,44.9,49.9,
1783028674.467,,,,47.1,50.1,
1783028674.525,,,,46.0,51.4,
1783028674.571,,,,50.0,52.0,
1783028674.621,,,,47.0,51.0,
1783028674.674,,,,48.0,52.5,
1783028674.727,,,,46.5,50.9,
1783028674.774,,,,56.0,59.0,
1783028674.830,,,,47.0,54.0,
1783028674.877,,,,44.8,48.8,
1783028674.928,,,,43.9,47.4,
1783028674.977,,,,46.6,49.6,
1783028675.030,,,,48.7,49.7,
1783028675.079,,,,50.0,51.0,
1783028675.140,,,,49.4,51.9,
1783028675.189,,,,50.7,62.2,
1783028675.240,,,,45.2,52.2,
1783028675.285,,,,47.4,50.7,
1783028675.338,,,,46.0,50.0,
1783028675.384,,,,43.0,45.0,
1783028675.439,,,,46.5,51.6,
1783028675.486,,,,46.8,47.8,
1783028675.538,,,,49.0,54.5,
1783028675.587,,,,47.0,49.0,
1783028675.640,,,,51.4,56.7,
1783028675.692,,,,46.4,50.6,
1783028675.739,,,,50.0,54.0,
1783028675.790,,,,45.3,48.3,
1783028675.842,,,,48.2,51.7,
1783028675.895,,,,46.9,52.2,
1783028675.942,,,,48.5,49.5,
1783028675.996,,,,46.3,50.3,
1783028676.043,,,,47.4,51.8,
1783028676.096,,,,48.2,49.2,
1783028676.144,,,,46.2,48.2,
1783028676.196,,,,44.5,47.5,
1783028676.247,,,,46.0,49.5,
1783028676.298,,,,53.5,57.5,
1783028676.353,,,,45.1,52.1,
1783028676.398,,,,47.9,49.9,
1783028676.446,,,,42.7,44.1,
1783028676.500,,,,46.5,51.5,
1783028676.552,,,,43.2,44.2,
1783028676.602,,,,49.1,52.1,
1783028676.651,,,,44.7,47.7,
1783028676.701,,,,57.3,60.8,
1783028676.758,,,,54.1,64.1,
1783028676.812,,,,50.0,62.7,
1783028676.862,,,,50.8,63.2,
1783028676.913,,,,48.0,60.0,
1783028676.961,,,,43.9,51.9,
1783028677.005,,,,45.3,48.5,
1783028677.056,,,,44.2,48.7,
1783028677.106,,,,45.0,48.3,
1783028677.158,,,,47.6,54.1,
1783028677.206,,,,45.6,47.6,
1783028677.258,,,,50.0,55.0,
1783028677.308,,,,55.6,58.6,
1783028677.363,,,,55.1,62.6,
1783028677.419,,,,52.0,67.6,
1783028677.472,,,,52.3,72.3,
1783028677.524,,,,43.9,63.4,
1783028677.568,,,,45.4,55.4,
1783028677.614,,,,43.3,49.3,
1783028677.668,,,,46.2,50.2,
1783028677.715,,,,45.5,50.5,
1783028677.761,,,,45.7,47.7,
1783028677.813,,,,47.5,50.0,
1783028677.866,,,,45.0,49.5,
1783028677.917,,,,47.1,50.1,
1783028677.964,,,,47.0,50.0,
1783028678.018,,,,57.0,61.5,
1783028678.075,,,,54.7,67.1,
1783028678.129,,,,55.9,66.9,
1783028678.185,,,,57.0,74.0,
1783028678.242,,,,53.0,77.0,
1783028678.295,,,,50.0,77.7,
1783028678.345,,,,50.1,75.6,
1783028678.395,,,,50.8,77.0,
1783028678.447,,,,47.1,73.9,
1783028678.494,,,,44.6,69.1,
1783028678.539,,,,48.0,66.0,
1783028678.587,,,,45.9,61.9,
1783028678.633,,,,42.5,51.5,
1783028678.675,,,,44.4,47.4,
1783028678.726,,,,44.5,45.5,
1783028678.776,,,,52.5,55.5,
1783028678.828,,,,50.9,54.9,
1783028678.879,,,,59.0,61.0,
1783028678.938,,,,53.1,58.1,
1783028678.991,,,,54.5,66.2,
1783028679.047,,,,52.3,66.7,
1783028679.099,,,,48.5,67.5,
1783028679.149,,,,49.6,64.0,
1783028679.198,,,,49.1,67.1,
1783028679.247,,,,49.6,63.3,
1783028679.297,,,,51.2,64.2,
1783028679.348,,,,48.5,61.8,
1783028679.397,,,,51.0,62.0,
1783028679.448,,,,46.7,59.0,
1783028679.494,,,,48.2,56.7,
1783028679.543,,,,52.9,59.7,
1783028679.596,,,,45.1,52.3,
1783028679.641,,,,45.8,48.9,
1783028679.692,,,,45.6,50.1,
1783028679.744,,,,45.2,49.0,
1783028679.795,,,,46.3,50.4,
1783028679.842,,,,47.0,49.0,
1783028679.894,,,,47.5,50.0,
1783028679.948,,,,46.5,50.5,
1783028679.994,,,,49.5,52.5,
1783028680.044,,,,48.2,54.2,
1783028680.092,,,,52.4,52.4,
1783028680.144,,,,46.4,51.4,
1783028680.197,,,,48.5,50.0,
1783028680.251,,,,46.5,51.0,
1783028680.303,,,,50.8,54.8,
1783028680.354,,,,48.9,52.9,
1783028680.403,,,,48.0,50.0,
1783028680.451,,,,46.2,49.2,
1783028680.503,,,,45.8,47.3,
1783028680.559,,,,43.5,46.9,
1783028680.609,,,,42.5,47.5,
1783028680.662,,,,45.4,45.4,
1783028680.708,,,,46.5,52.6,
1783028680.754,,,,44.9,45.9,
1783028680.805,,,,44.7,47.2,
1783028680.857,,,,46.4,49.9,
1783028680.909,,,,47.0,50.5,
1783028680.956,,,,47.1,50.1,
1783028681.014,,,,45.1,51.6,
1783028681.060,,,,46.0,52.0,
1783028681.112,,,,48.2,52.7,
1783028681.161,,,,48.1,51.1,
1783028681.210,,,,46.6,47.6,
1783028681.262,,,,44.5,47.5,
1783028681.313,,,,43.5,47.5,
1783028681.362,,,,41.7,43.2,
1783028681.415,,,,49.5,54.5,
1783028681.464,,,,46.2,52.2,
1783028681.517,,,,45.4,48.4,
1783028681.568,,,,43.0,47.0,
1783028681.616,,,,45.0,46.5,
1783028681.667,,,,44.3,45.8,
1783028681.722,,,,47.3,52.3,
1783028681.770,,,,50.8,51.8,
1783028681.826,,,,44.8,50.1,
1783028681.876,,,,47.0,52.0,
1783028681.929,,,,45.5,50.5,
1783028681.981,,,,44.0,49.5,
1783028682.025,,,,47.0,49.0,
1783028682.077,,,,44.2,45.7,
1783028682.127,,,,46.5,48.5,
1783028682.174,,,,48.1,49.1,
1783028682.233,,,,46.5,51.0,
1783028682.279,,,,48.0,49.0,
1783028682.327,,,,46.2,46.2,
1783028682.379,,,,53.7,55.7,
1783028682.433,,,,47.0,53.0,
1783028682.480,,,,48.6,49.6,
1783028682.529,,,,46.0,48.0,
1783028682.586,,,,49.4,54.9,
1783028682.635,,,,46.2,51.2,
1783028682.682,,,,44.0,45.0,
1783028682.737,,,,48.0,50.0,
1783028682.785,,,,46.2,48.2,
1783028682.837,,,,51.3,54.3,
1783028682.889,,,,45.9,50.9,
1783028682.940,,,,49.7,54.2,
1783028682.990,,,,44.9,48.9,
1783028683.041,,,,48.8,54.0,
1783028683.096,,,,60.5,62.2,
1783028683.156,,,,63.0,83.0,
1783028683.219,,,,54.1,87.5,
1783028683.273,,,,52.4,84.6,
1783028683.327,,,,52.3,90.7,
1783028683.379,,,,56.0,93.3,
1783028683.435,,,,51.9,95.0,
1783028683.487,,,,58.4,99.7,
1783028683.545,,,,56.7,57.7,
1783028683.603,,,,53.6,58.6,
1783028683.657,,,,54.2,65.2,
1783028683.711,,,,60.4,78.4,
1783028683.772,,,,55.5,81.5,
1783028683.828,,,,53.6,85.9,
1783028683.881,,,,50.7,84.0,
1783028683.932,,,,54.7,88.8,
1783028683.987,,,,52.6,92.3,
1783028684.039,,,,48.3,86.8,
1783028684.088,,,,47.5,86.7,
1783028684.135,,,,50.7,82.1,
1783028684.187,,,,46.0,78.0,
1783028684.233,,,,47.7,73.7,
1783028684.281,,,,47.0,71.2,
1783028684.328,,,,44.4,67.4,
1783028684.373,,,,54.6,71.0,
1783028684.428,,,,45.0,65.0,
1783028684.473,,,,50.4,67.4,
1783028684.523,,,,49.6,64.2,
1783028684.573,,,,53.4,65.4,
1783028684.626,,,,47.0,63.0,
1783028684.673,,,,50.5,57.5,
1783028684.723,,,,48.5,63.5,
1783028684.772,,,,51.9,64.9,
1783028684.824,,,,47.0,60.5,
1783028684.871,,,,50.2,62.2,
1783028684.922,,,,49.2,58.2,
1783028684.971,,,,50.5,58.8,
1783028685.022,,,,48.8,58.8,
1783028685.071,,,,49.5,56.5,
1783028685.120,,,,51.9,59.9,
1783028685.172,,,,48.8,59.2,
1783028685.221,,,,42.7,48.3,
1783028685.270,,,,47.6,49.6,
1783028685.317,,,,46.0,50.0,
1783028685.369,,,,48.0,52.0,
1783028685.417,,,,47.4,51.5,
1783028685.471,,,,52.9,58.4,
1783028685.525,,,,57.9,67.9,
1783028685.582,,,,51.6,65.6,
1783028685.634,,,,45.5,54.5,
1783028685.681,,,,46.1,52.6,
1783028685.727,,,,48.7,55.7,
1783028685.782,,,,43.1,47.5,
1783028685.825,,,,45.5,46.5,
1783028685.876,,,,46.9,47.9,
1783028685.934,,,,52.4,56.5,
1783028685.986,,,,47.4,50.4,
1783028686.039,,,,49.5,52.5,
1783028686.089,,,,44.0,54.0,
1783028686.138,,,,47.3,50.8,
1783028686.186,,,,50.3,55.3,
1783028686.236,,,,46.4,48.9,
1783028686.288,,,,46.2,50.7,
1783028686.339,,,,52.5,57.0,
1783028686.392,,,,50.3,57.7,
1783028686.442,,,,50.2,61.2,
1783028686.492,,,,50.3,58.3,
1783028686.544,,,,47.5,57.6,
1783028686.591,,,,49.8,53.8,
1783028686.641,,,,46.3,51.3,
1783028686.693,,,,48.9,54.9,
1783028686.743,,,,43.6,47.6,
1783028686.792,,,,48.0,51.0,
1783028686.847,,,,45.6,49.0,
1783028686.892,,,,48.1,50.1,
1783028686.946,,,,42.5,44.5,
1783028686.994,,,,48.2,49.2,
1783028687.042,,,,48.4,48.4,
1783028687.096,,,,45.8,49.3,
1783028687.148,,,,48.8,50.8,
1783028687.202,,,,49.0,54.1,
1783028687.251,,,,45.6,49.1,
1783028687.303,,,,48.0,52.4,
1783028687.351,,,,47.2,50.2,
1783028687.404,,,,46.4,51.7,
1783028687.457,,,,46.4,51.9,
1783028687.503,,,,46.2,51.9,
1783028687.555,,,,45.3,50.3,
1783028687.600,,,,45.0,48.0,
1783028687.651,,,,45.7,48.7,
1783028687.703,,,,51.2,52.7,
1783028687.754,,,,53.9,59.4,
1783028687.808,,,,50.1,57.8,
1783028687.858,,,,47.4,58.0,
1783028687.907,,,,46.4,51.4,
1783028687.953,,,,48.1,49.1,
1783028688.007,,,,47.5,52.5,
1783028688.054,,,,44.4,46.4,
1783028688.104,,,,45.6,48.6,
1783028688.157,,,,46.0,48.5,
1783028688.209,,,,45.0,49.0,
1783028688.259,,,,44.8,46.3,
1783028688.315,,,,46.0,50.5,
1783028688.361,,,,54.0,54.0,
1783028688.415,,,,56.6,58.6,
1783028688.471,,,,49.7,59.1,
1783028688.521,,,,48.0,58.3,
1783028688.572,,,,49.4,57.7,
1783028688.621,,,,48.0,56.0,
1783028688.669,,,,47.0,53.0,
1783028688.716,,,,47.5,49.5,
1783028688.769,,,,45.6,50.6,
1783028688.815,,,,54.0,55.0,
1783028688.870,,,,56.1,60.1,
1783028688.926,,,,54.5,64.8,
1783028688.981,,,,47.7,62.9,
1783028689.028,,,,52.1,63.1,
1783028689.081,,,,51.3,64.3,
1783028689.133,,,,45.4,60.7,
1783028689.178,,,,47.0,57.2,
1783028689.225,,,,45.1,51.1,
1783028689.270,,,,48.3,49.3,
1783028689.324,,,,43.0,47.5,
1783028689.372,,,,48.7,50.2,
1783028689.421,,,,49.6,50.6,
1783028689.477,,,,48.3,52.2,
1783028689.525,,,,47.9,50.9,
1783028689.578,,,,49.3,51.8,
1783028689.628,,,,46.0,48.0,
1783028689.685,,,,48.6,53.6,
1783028689.734,,,,48.1,53.1,
1783028689.787,,,,46.5,52.0,
1783028689.835,,,,45.2,48.2,
1783028689.886,,,,46.2,51.2,
1783028689.939,,,,47.4,51.9,
1783028689.986,,,,52.4,53.4,
1783028690.039,,,,56.2,61.7,
1783028690.095,,,,53.4,64.4,
1783028690.149,,,,54.1,69.6,
1783028690.204,,,,52.4,69.4,
1783028690.257,,,,51.9,71.8,
1783028690.310,,,,47.7,69.7,
1783028690.357,,,,44.6,65.6,
1783028690.402,,,,44.2,56.5,
1783028690.447,,,,50.0,59.0,
1783028690.497,,,,46.5,51.1,
1783028690.544,,,,49.9,55.9,
1783028690.594,,,,52.8,57.8,
1783028690.647,,,,47.8,53.8,
1783028690.706,,,,44.1,49.6,
1783028690.751,,,,47.1,52.1,
1783028690.798,,,,47.6,54.6,
1783028690.851,,,,45.5,50.3,
1783028690.908,,,,47.1,52.1,
1783028690.955,,,,48.8,58.8,
1783028691.005,,,,48.3,57.3,
1783028691.053,,,,45.0,49.0,
1783028691.104,,,,47.0,52.2,
1783028691.151,,,,42.5,45.5,
1783028691.204,,,,46.7,50.7,
1783028691.251,,,,46.5,48.5,
1783028691.303,,,,48.5,52.5,
1783028691.352,,,,46.5,47.5,
1783028691.410,,,,47.0,51.0,
1783028691.457,,,,48.0,52.0,
1783028691.505,,,,53.0,54.0,
1783028691.558,,,,45.6,50.6,
1783028691.603,,,,46.5,46.5,
1783028691.656,,,,44.5,46.5,
1783028691.706,,,,47.7,50.7,
1783028691.760,,,,46.1,51.5,
1783028691.806,,,,49.0,50.0,
1783028691.861,,,,44.2,48.2,
1783028691.911,,,,48.2,53.2,
1783028691.959,,,,47.7,50.3,
1783028692.013,,,,45.6,50.6,
1783028692.059,,,,47.0,48.0,
1783028692.111,,,,43.8,47.3,
1783028692.161,,,,47.5,49.5,
1783028692.214,,,,47.4,51.9,
1783028692.261,,,,46.0,47.0,
1783028692.313,,,,45.5,46.5,
1783028692.364,,,,47.4,48.4,
1783028692.418,,,,50.8,55.2,
1783028692.468,,,,45.5,50.5,
1783028692.519,,,,46.9,51.4,
1783028692.566,,,,47.3,48.3,
1783028692.619,,,,45.5,51.5,
1783028692.671,,,,47.1,51.6,
1783028692.719,,,,48.2,50.2,
1783028692.773,,,,49.1,54.6,
1783028692.822,,,,49.3,53.3,
1783028692.872,,,,46.8,49.4,
1783028692.924,,,,44.6,49.6,
1783028692.974,,,,48.7,53.7,
1783028693.023,,,,46.8,48.8,
1783028693.076,,,,50.6,55.3,
1783028693.126,,,,50.2,54.2,
1783028693.178,,,,47.2,52.2,
1783028693.225,,,,49.9,52.2,
1783028693.275,,,,46.2,48.2,
1783028693.327,,,,49.5,52.5,
1783028693.376,,,,44.4,48.2,
1783028693.427,,,,50.1,53.1,
1783028693.477,,,,44.5,48.5,
1783028693.528,,,,48.5,52.0,
1783028693.577,,,,50.5,51.5,
1783028693.627,,,,47.3,49.3,
1783028693.680,,,,44.4,47.9,
1783028693.730,,,,50.1,54.1,
1783028693.780,,,,45.2,47.2,
1783028693.831,,,,46.5,49.5,
1783028693.884,,,,45.5,48.5,
1783028693.935,,,,45.4,49.4,
1783028693.986,,,,47.5,49.5,
1783028694.039,,,,46.5,50.5,
1783028694.092,,,,46.5,49.5,
1783028694.138,,,,46.9,47.9,
1783028694.191,,,,47.0,48.5,
1783028694.238,,,,44.4,45.4,
1783028694.294,,,,50.0,55.5,
1783028694.344,,,,45.5,50.5,
1783028694.390,,,,48.0,48.0,
1783028694.444,,,,49.5,51.0,
1783028694.500,,,,46.0,51.0,
1783028694.551,,,,43.3,49.6,
1783028694.601,,,,45.0,49.5,
1783028694.646,,,,47.0,47.0,
1783028694.699,,,,46.5,49.5,
1783028694.751,,,,49.0,54.0,
1783028694.800,,,,44.0,45.0,
1783028694.855,,,,47.5,52.5,
1783028694.903,,,,45.0,47.0,
1783028694.954,,,,49.1,51.6,
1783028695.009,,,,51.7,55.2,
1783028695.061,,,,48.9,53.6,
1783028695.110,,,,47.5,49.5,
1783028695.157,,,,48.1,50.1,
1783028695.217,,,,45.3,51.8,
1783028695.263,,,,49.0,54.0,
1783028695.312,,,,47.7,51.7,
1783028695.366,,,,54.2,57.2,
1783028695.420,,,,52.4,59.7,
1783028695.472,,,,49.2,61.4,
1783028695.521,,,,53.1,64.5,
1783028695.574,,,,48.3,62.4,
1783028695.624,,,,55.2,67.6,
1783028695.679,,,,47.0,64.1,
1783028695.727,,,,47.5,58.8,
1783028695.776,,,,50.4,59.4,
1783028695.826,,,,53.3,60.6,
1783028695.879,,,,51.4,62.4,
1783028695.931,,,,49.1,57.1,
1783028695.980,,,,51.1,55.1,
1783028696.031,,,,51.5,56.5,
1783028696.082,,,,50.8,56.8,
1783028696.134,,,,55.4,61.4,
1783028696.190,,,,53.1,66.1,
1783028696.243,,,,53.4,66.4,
1783028696.296,,,,65.7,81.8,
1783028696.362,,,,59.1,91.3,
1783028696.422,,,,45.5,86.5,
1783028696.467,,,,44.7,81.1,
1783028696.512,,,,48.0,77.7,
1783028696.560,,,,44.9,71.9,
1783028696.605,,,,43.0,64.0,
1783028696.649,,,,43.9,58.9,
1783028696.693,,,,49.3,54.3,
1783028696.742,,,,45.2,51.5,
1783028696.787,,,,47.0,51.0,
1783028696.840,,,,46.7,48.7,
1783028696.893,,,,50.1,54.0,
1783028696.943,,,,46.7,53.1,
1783028696.997,,,,50.6,55.7,
1783028697.047,,,,47.0,52.0,
1783028697.094,,,,48.8,50.8,
1783028697.149,,,,45.0,49.4,
1783028697.200,,,,51.1,55.1,
1783028697.251,,,,46.3,54.1,
1783028697.297,,,,45.6,46.6,
1783028697.353,,,,49.4,54.5,
1783028697.403,,,,51.5,57.9,
1783028697.454,,,,53.7,63.2,
1783028697.508,,,,53.2,65.5,
1783028697.562,,,,52.0,67.0,
1783028697.614,,,,53.6,73.6,
1783028697.669,,,,56.1,78.4,
1783028697.725,,,,54.7,83.4,
1783028697.780,,,,50.6,84.2,
1783028697.831,,,,50.3,83.8,
1783028697.881,,,,47.4,79.4,
1783028697.928,,,,46.1,77.1,
1783028697.974,,,,51.5,77.6,
1783028698.026,,,,48.4,76.9,
1783028698.075,,,,54.0,80.4,
1783028698.129,,,,59.8,89.8,
1783028698.189,,,,53.9,93.0,
1783028698.243,,,,48.5,90.8,
1783028698.291,,,,48.0,87.5,
1783028698.339,,,,59.8,97.8,
1783028698.399,,,,53.2,99.0,
1783028698.452,,,,53.6,101.8,
1783028698.506,,,,52.9,102.5,
1783028698.559,,,,54.4,56.4,
1783028698.613,,,,46.7,51.7,
1783028698.660,,,,49.2,50.3,
1783028698.715,,,,51.4,55.4,
1783028698.768,,,,52.4,56.6,
1783028698.821,,,,54.5,60.5,
1783028698.875,,,,51.3,61.3,
1783028698.927,,,,51.6,63.0,
1783028698.979,,,,55.4,68.0,
1783028699.035,,,,54.2,72.6,
1783028699.090,,,,51.8,74.2,
1783028699.142,,,,55.3,78.1,
1783028699.197,,,,54.2,83.2,
1783028699.251,,,,53.6,85.6,
1783028699.305,,,,50.8,86.9,
1783028699.356,,,,51.5,83.5,
1783028699.407,,,,49.6,84.1,
1783028699.457,,,,51.0,79.6,
1783028699.508,,,,45.5,73.8,
1783028699.553,,,,49.1,74.2,
1783028699.603,,,,54.4,79.6,
1783028699.658,,,,55.0,78.9,
1783028699.713,,,,52.6,85.4,
1783028699.767,,,,54.6,84.9,
1783028699.822,,,,56.1,91.9,
1783028699.879,,,,53.1,97.1,
1783028699.932,,,,55.2,100.3,
1783028699.988,,,,59.5,110.7,
1783028700.047,,,,51.7,57.7,
1783028700.099,,,,50.4,59.4,
1783028700.149,,,,54.0,66.0,
1783028700.204,,,,55.3,71.3,
1783028700.260,,,,48.9,70.4,
1783028700.309,,,,46.1,63.1,
1783028700.356,,,,45.6,48.6,
1783028700.401,,,,46.0,50.0,
1783028700.447,,,,49.0,53.0,
1783028700.496,,,,46.8,48.8,
1783028700.549,,,,57.4,57.4,
1783028700.607,,,,55.4,64.7,
1783028700.662,,,,51.9,63.5,
1783028700.714,,,,48.8,60.7,
1783028700.763,,,,50.6,63.1,
1783028700.814,,,,53.7,63.2,
1783028700.867,,,,50.1,62.7,
1783028700.917,,,,48.1,61.1,
1783028700.965,,,,49.0,60.0,
1783028701.014,,,,50.2,61.0,
1783028701.065,,,,49.0,59.3,
1783028701.114,,,,51.8,59.8,
1783028701.165,,,,47.5,59.7,
1783028701.213,,,,50.1,57.2,
1783028701.263,,,,47.0,55.5,
1783028701.310,,,,49.3,55.3,
1783028701.359,,,,54.6,58.6,
1783028701.414,,,,50.9,57.9,
1783028701.466,,,,51.6,61.5,
1783028701.518,,,,48.0,58.8,
1783028701.566,,,,51.2,57.2,
1783028701.617,,,,55.7,61.7,
1783028701.673,,,,48.9,57.8,
1783028701.721,,,,47.5,55.2,
1783028701.769,,,,46.7,50.7,
1783028701.817,,,,51.1,53.1,
1783028701.868,,,,48.1,50.1,
1783028701.922,,,,49.1,55.1,
1783028701.972,,,,49.1,51.1,
1783028702.021,,,,48.8,49.8,
1783028702.076,,,,52.1,56.1,
1783028702.129,,,,45.7,52.1,
1783028702.175,,,,48.0,51.0,
1783028702.229,,,,46.6,52.0,
1783028702.276,,,,53.7,55.7,
1783028702.329,,,,51.1,54.1,
1783028702.381,,,,50.9,55.9,
1783028702.431,,,,43.0,51.0,
1783028702.480,,,,51.6,54.6,
1783028702.532,,,,47.5,53.5,
1783028702.579,,,,51.5,56.5,
1783028702.631,,,,51.0,56.0,
1783028702.682,,,,62.2,64.2,
1783028702.745,,,,64.5,80.6,
